city,competition,date_0,date_1,date_2,date_3,date_4,eliminator,file_no,gender,index,match_number,match_referee,method,neutralvenue,outcome,player_of_match,reserve_umpire,season,series,team,toss_decision,toss_winner,tv_umpire,umpire_0,umpire_1,venue,winner,winner_innings,winner_runs,winner_wickets
Karachi,,2006/02/19,,,,,,237571,male,0,5,BC Broad,,,,Yuvraj Singh,,2005/06,India in Pakistan ODI Series,India,field,India,Asad Rauf,Aleem Dar,SA Bucknor,National Stadium,India,,,8
Windhoek,ICC World Cricket League Division Two,2015/01/21,,,,,,812797,male,0,,D Govindjee,,true,,NR Kumar,A Louw,2014/15,,Uganda,bat,Canada,,D Odhiambo,IN Ramage,Affies Park,Canada,,111,
,ICC World Twenty20,2012/09/27,,,,,Sri Lanka,533284,male,0,13,J Srinath,,,tie,TM Dilshan,Asad Rauf,2012/13,,New Zealand,bat,New Zealand,SJ Davis,Aleem Dar,SJA Taufel,Pallekele International Cricket Stadium,,,,
,,2013/01/20,,,,,,573017,male,0,4,J Srinath,,,no result,,JD Ward,2012/13,Sri Lanka in Australia ODI Series,Sri Lanka,bat,Australia,RA Kettleborough,M Erasmus,PR Reiffel,Sydney Cricket Ground,,,,
Mumbai,ICC Women's World Cup,2013/02/11,,,,,,594909,female,0,18,DT Jukes,,true,,A Mohammed,BB Pradhan,2012/13,,West Indies,field,New Zealand,RSA Palliyaguruge,VA Kulkarni,Shahul Hameed,Brabourne Stadium,West Indies,,48,
Leeds,,2016/09/01,,,,,,913659,male,0,4,JJ Crowe,,,,JM Bairstow,RJ Bailey,2016,Pakistan in England ODI Series,Pakistan,bat,Pakistan,SD Fry,M Erasmus,RT Robinson,Headingley,England,,,4
Ahmedabad,,2010/02/27,,,,,,441829,male,0,3,AJ Pycroft,,,,AB de Villiers,RM Deshpande,2009/10,South Africa in India ODI Series,South Africa,bat,South Africa,SK Tarapore,IJ Gould,SS Hazare,"""Sardar Patel Stadium",South Africa,,90,
Greater Noida,,2017/03/24,,,,,,1040499,male,0,5,GF Labrooy,,true,,Rahmat Shah,Bismillah Shinwari,2016/17,Afghanistan v Ireland ODI Series,Ireland,bat,Ireland,AK Chaudhary,Ahmed Shah Pakteen,Nitin Menon,Greater Noida Sports Complex Ground,Afghanistan,,,7
Dunedin,,2015/01/23,,,,,,749789,male,0,5,J Srinath,,,,L Ronchi,DJ Walker,2014/15,Sri Lanka in New Zealand ODI Series,Sri Lanka,field,Sri Lanka,IJ Gould,CB Gaffaney,NJ Llong,University Oval,New Zealand,,108,
Bishop's Stortford,ICC World Cricket League Division Six,2015/09/13,,,,,,913451,male,0,,GF Labrooy,,true,,J Wesele,Iftikhar Ali,2015,,Fiji,field,Botswana,,MB Gray,J Jensen,Cricket Field Lane,Fiji,,133,
Johannesburg,,2012/01/22,,,,,,514039,male,0,5,JJ Crowe,,,,KC Sangakkara,JD Cloete,2011/12,Sri Lanka in South Africa ODI Series,Sri Lanka,field,Sri Lanka,BR Doctrove,M Erasmus,NJ Llong,New Wanderers Stadium,Sri Lanka,,,2
Bangalore,,2015/07/08,,,,,,872483,female,0,5,GF Labrooy,,,,,YC Barde,2015,New Zealand Women in India ODI Series,New Zealand,bat,New Zealand,S Shankar,S Das,UL Dubey,M Chinnaswamy Stadium,India,,,9
St Lucia,ICC World Cup,2007/03/24,,,,,,247479,male,0,23,MJ Procter,,true,,EC Joyce,Asad Rauf,2006/07,,Kenya,bat,Kenya,BR Doctrove,RE Koertzen,PD Parker,"""Beausejour Stadium",England,,,7
Belfast,,2007/06/24,,,,,,293072,male,0,,AG Hurst,,,,AR Cusack,TC Magee,2007,,South Africa,field,Ireland,MR Benson,Aleem Dar,BF Bowden,"""Civil Service Cricket Club",South Africa,,42,
,,2017/02/24,,,,,,1079249,male,0,4,DT Jukes,D/L,,,CB Mpofu,S Rwaziyeni,2016/17,Afghanistan in Zimbabwe ODI Series,Afghanistan,bat,Afghanistan,L Rusere,S George,TJ Matibiri,Harare Sports Club,Zimbabwe,,,7
Scarborough,"""ICC Women's Championship",2014/08/21,,,,,,722389,female,0,1,DT Jukes,D/L,,,HC Knight,,2014,India Women in England ODI Series,India,field,England,,JH Evans,SJ O'Shaughnessy,North Marine Road Ground,England,,42,
